feature,coefficient
balance_7d_ago,-0.092940085637181
balance_30d_ago,-0.092940085637181
net_amount_result_7d,-0.06961294769719861
net_amount_result_30d,-0.025835266483052635
num_sessions_7d,-0.8811576868813028
num_sessions_30d,-0.4167156728935821
avg_sessions_duration_30d,-0.013133352966293031
avg_bet_amount_30d,-0.011187111787623601
net_game_result_7d,-0.12972114513840802
net_game_result_30d,-0.04877408005947031
failed_withdrawals_30d,0.0
deposit_count_30d,0.0
withdrawal_count_30d,0.0
withdrawal_ratio,0.0
country_0,0.0
country_1,0.0
country_2,0.007608523038622182
country_3,0.0
age_bucket_0,0.0
age_bucket_1,0.0
age_bucket_2,0.0
age_bucket_3,0.0
