feature,coefficient
balance_7d_ago,0.0
balance_30d_ago,-0.13535775476775774
net_amount_result_7d,-0.03997391983206644
net_amount_result_30d,-0.10830232710928056
num_sessions_7d,-0.941010781248078
num_sessions_30d,-0.12260903241106039
avg_sessions_duration_30d,0.0
avg_bet_amount_30d,-0.0196890979563873
net_game_result_7d,-0.1258593022623114
net_game_result_30d,-0.14133786639416854
failed_withdrawals_30d,-0.0038527797286699774
deposit_count_30d,-0.04904284696233469
withdrawal_count_30d,-0.04016433220311234
withdrawal_ratio,0.0
country_0,-0.1154215463747562
country_1,0.0
country_2,0.12377745497122077
country_3,0.0
age_bucket_0,0.0
age_bucket_1,0.0
age_bucket_2,0.0
age_bucket_3,0.0
